playerName,credits,player_role,selectionPercent,teamName
Rohit Sharma,10.5,bat,60%,IND
KL Rahul,9,bat,21%,IND
Shivam Dubey,8,ar,7%,IND
Virat Kohli,10.5,bat,82%,IND
Rishabh Pant,8.5,wk,74%,IND
Shreyas Iyer,9,bat,36%,IND
Ravindra Jadeja,8.5,ar,28%,IND
Washington Sundar,8,ar,3%,IND
Deepak Chahar,8.5,bowl,96%,IND
Bhuvneshwar Kumar,8.5,bowl,18%,IND
Yuzvendra Chahal,9,bowl,32%,IND
Lendl Simmons,8.5,bat,99%,WI
Evin Lewis,9.5,bat,57%,WI
Shimron Hetmyer,9,bat,4%,WI
Nicholas Pooran,9,wk,96%,WI
Brandon King,8,bat,70%,WI
Kieron Pollard,9,ar,63%,WI
Jason Holder,8.5,ar,95%,WI
Khary Pierre,8,bowl,81%,WI
Hayden Walsh,8.5,bowl,15%,WI
Sheldon Cottrell,9,bowl,41%,WI
Kesrick Williams,9,bowl,38%,WI
Kuldeep Yadav,8.5,bowl,76%,IND
Sanju Samson,8.5,wk,84%,IND
Denesh Ramdin,8,wk,40%,WI
Fabian Allen,8,ar,86%,WI
Manish Pandey,8.5,bat,82%,IND
M Shami,8.5,bowl,50%,IND
Keemo Paul,8,ar,53%,WI
Sherfane Rutherford,8,ar,63%,WI
